DATE,NCBEILQ027S_BCNSDODNS_CMDEBT_FGSDODNS_SLGSDODNS_FBCELLQ027S_DODFFSWCMI
1988-01-01,0.24868406405404161713
1988-04-01,0.25298809769042827183
1988-07-01,0.24698904813589916446
1988-10-01,0.24741877249952690019
1989-01-01,0.25283115279824548853
1989-04-01,0.26191042423025950823
1989-07-01,0.27342665130968956120
1989-10-01,0.27221594353138451570
1990-01-01,0.25857221490929788058
1990-04-01,0.26266310977763148929
1990-07-01,0.22729687584343696103
1990-10-01,0.24280397583489699635
1991-01-01,0.26811585024325115835
1991-04-01,0.26432028022826604959
1991-07-01,0.27277550339387555197
1991-10-01,0.29421044870213877124
1992-01-01,0.28832626711120314818
1992-04-01,0.28487024495504688430
1992-07-01,0.28712558115053884210
1992-10-01,0.30648012134630361261
1993-01-01,0.31175136671815341610
1993-04-01,0.30878312456265410805
1993-07-01,0.31269564747606031869
1993-10-01,0.31707013947053126379
1994-01-01,0.30562321865450465379
1994-04-01,0.29988777492783619389
1994-07-01,0.30658038068139677574
1994-10-01,0.30372339465978756610
1995-01-01,0.31780547067018167145
1995-04-01,0.33154370139599830269
1995-07-01,0.34652861481233396273
1995-10-01,0.35763015708835796390
1996-01-01,0.36477183570793424722
1996-04-01,0.37008320910848204412
1996-07-01,0.37155151718552655262
1996-10-01,0.38345911527081622384
1997-01-01,0.38259110895176418203
1997-04-01,0.41397721896179503489
1997-07-01,0.43091431568804777759
1997-10-01,0.43346447296195780209
1998-01-01,0.46109281955003517643
1998-04-01,0.46118349977535950079
1998-07-01,0.42875501319896978427
1998-10-01,0.46846659039165217500
1999-01-01,0.47047068235873800923
1999-04-01,0.48769670610497906027
1999-07-01,0.46879559473943515900
1999-10-01,0.50942880689505033205
2000-01-01,0.51797112137416701129
2000-04-01,0.50563669092629838606
2000-07-01,0.50481196503978763223
2000-10-01,0.47580723936531939196
2001-01-01,0.44343352639846399601
2001-04-01,0.45963249940900903595
2001-07-01,0.41491730441585663273
2001-10-01,0.43950356738836075998
2002-01-01,0.43895259973834854096
2002-04-01,0.40490958582404937353
2002-07-01,0.35936819780313767418
2002-10-01,0.36933881177796805726
2003-01-01,0.35828542139182646146
2003-04-01,0.38523455148877852725
2003-07-01,0.38994664744051910598
2003-10-01,0.40873675973563593424
2004-01-01,0.40525422260860721687
2004-04-01,0.40238168010987260702
2004-07-01,0.39380987422648727460
2004-10-01,0.40969540968521267784
2005-01-01,0.40191395993856769112
2005-04-01,0.40265276208497775735
2005-07-01,0.40546857527037637276
2005-10-01,0.40420672938709127012
2006-01-01,0.41223619426730571191
2006-04-01,0.39947553839113124432
2006-07-01,0.40338980347129198251
2006-10-01,0.41276808556763430048
2007-01-01,0.41498630486935617421
2007-04-01,0.41903917928579383339
2007-07-01,0.41512565312191454345
2007-10-01,0.39916789248819476189
2008-01-01,0.37445703402998022257
2008-04-01,0.36637572405388801458
2008-07-01,0.34245969751266829722
2008-10-01,0.29307373507695402964
2009-01-01,0.26655585032498557917
2009-04-01,0.29156603342749693420
2009-07-01,0.32026111616205876386
2009-10-01,0.32818618705267912133
2010-01-01,0.33722998923802910283
2010-04-01,0.31112793732302204635
2010-07-01,0.32854613662668699159
2010-10-01,0.34870763332191516411
2011-01-01,0.36069296736673695640
2011-04-01,0.35590751955409327776
2011-07-01,0.31742773759708887559
2011-10-01,0.33531964511585599043
2012-01-01,0.35945609396497984521
2012-04-01,0.34907014724886106620
2012-07-01,0.35747619122951993504
2012-10-01,0.35430363479931225795
2013-01-01,0.37788618418669889073
2013-04-01,0.38213109464208297960
2013-07-01,0.39182895132413602631
2013-10-01,0.40681379009316076632
2014-01-01,0.41130763275656554466
2014-04-01,0.41866630224632921117
2014-07-01,0.41630221117640839742
2014-10-01,0.42511826372856629718
2015-01-01,0.42627316605516289184
2015-04-01,0.42234193196092853263
2015-07-01,0.40241029477065367226
2015-10-01,0.41076589004105263888
2016-01-01,0.40936233177275789484
2016-04-01,0.41152614189797455905
2016-07-01,0.41637492125748201174
2016-10-01,0.42233607536541839775
2017-01-01,0.43249739530611454285
2017-04-01,0.43479557657188187419
2017-07-01,0.44015102420707624282
2017-10-01,0.45078164340466608255
2018-01-01,0.44451820525071278960
2018-04-01,0.44776168898419311469
2018-07-01,0.45808588990718469683
2018-10-01,0.41884680714675625143
2019-01-01,0.44601062895472655631
2019-04-01,0.45074404697828522899
2019-07-01,0.44793058953541311684
2019-10-01,0.46352399743427785603
2020-01-01,0.40044432844979144711
2020-04-01,0.43460447908457118532
2020-07-01,0.45232969200041318021
